Removed indices,Ranks Reversals
"3,1","4,5"
"6,5","2,3"
"7,6","2,3"
"9,1","4,5"
"9,3","4,5"
"9,4","3,4"
"9,7","4,5"
"10,1","4,5"
"10,3","4,5"
"10,4","3,4"
"10,7","4,5"
"10,9","4,5"
"11,2","4,5"
"11,9","4,5"
"11,10","4,5"
"12,1","4,5"
"12,3","4,5"
"12,9","4,5"
"12,10","4,5"
"13,1","4,5"
"13,3","4,5"
"13,9","4,5"
"13,10","4,5"
"13,12","4,5"
"15,2","4,5"
"15,4","4,5"
"15,6","2,3"
"15,7","5,6"
"15,9","4,5"
"15,10","4,5"
"15,11","5,6"
"16,3","4,5"
"16,9","4,5"
"16,10","4,5"
"16,12","4,5"
"16,13","4,5"
