AB de Villiers,Andre Russel,Ben Stokes,Chris Gayle,Chris Lynn,David Warner,Faf Du Plessis,Jonny Bairstow,Jos Buttler,Kane Williamson,Kieron Pollard,Marcus Stoinis,Moeen Ali,Quinton de Kock,Shane Watson,Steve Smith
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
5,2,16,3,8,1,10,4,12,15,7,13,14,6,9,11
4,2,16,3,9,1,10,6,12,15,8,14,13,5,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,6,13,15,9,14,12,4,7,11
5,2,16,3,9,1,10,7,13,15,8,14,12,4,6,11
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
4,2,16,3,8,1,10,6,12,15,9,14,13,5,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
6,2,16,3,8,1,9,4,11,15,10,14,13,5,7,12
5,2,16,3,8,1,9,6,12,15,10,13,14,4,7,11
5,2,16,3,8,1,10,6,13,15,9,14,12,4,7,11
4,2,16,3,9,1,10,6,12,15,7,14,13,5,8,11
4,2,16,3,8,1,10,5,11,15,9,14,13,6,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,9,1,10,6,12,15,8,14,13,4,7,11
4,2,16,3,9,1,10,5,11,15,7,14,12,6,8,13
6,2,16,3,8,1,10,5,11,15,9,14,13,4,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
4,2,16,3,9,1,10,6,12,15,8,14,13,5,7,11
5,2,16,3,8,1,10,4,11,15,7,13,14,6,9,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
4,2,16,3,9,1,10,5,12,15,7,13,14,6,8,11
4,2,16,3,9,1,10,6,14,15,8,13,12,5,7,11
5,2,16,3,8,1,10,4,11,15,9,14,13,6,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
6,2,16,3,8,1,9,4,11,15,10,14,13,5,7,12
5,2,16,3,8,1,10,4,11,15,9,13,14,6,7,12
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
4,2,16,3,7,1,10,6,11,15,9,14,13,5,8,12
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
4,2,16,3,9,1,10,5,12,15,7,13,14,6,8,11
6,2,16,3,8,1,9,4,11,15,10,14,13,5,7,12
5,2,16,3,8,1,9,6,11,15,10,14,13,4,7,12
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
4,2,16,3,8,1,10,5,11,15,7,14,13,6,9,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,9,1,10,4,12,15,8,14,13,6,7,11
5,2,16,3,9,1,10,6,13,15,8,14,12,4,7,11
4,2,16,3,7,1,10,6,12,15,9,14,13,5,8,11
4,2,16,3,9,1,10,5,12,15,7,14,11,6,8,13
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,7,13,15,9,14,12,4,6,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
4,2,16,3,8,1,10,5,12,15,9,14,13,6,7,11
6,2,16,3,8,1,9,4,11,15,10,14,13,5,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,13,14,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
4,2,16,3,9,1,10,6,13,15,8,14,12,5,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,9,1,10,6,14,15,8,13,12,4,7,11
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,6,13,15,9,14,12,4,7,11
5,2,16,3,8,1,10,4,11,15,9,14,13,6,7,12
4,2,16,3,8,1,9,6,12,15,10,14,13,5,7,11
3,2,16,4,9,1,10,5,12,15,7,13,14,6,8,11
5,2,16,3,9,1,10,6,13,15,8,14,12,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,9,1,10,4,11,15,8,14,13,6,7,12
5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
4,2,16,3,9,1,10,6,12,15,7,14,13,5,8,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,6,13,15,9,14,12,4,7,11
4,2,16,3,8,1,10,6,12,15,9,13,14,5,7,11
6,2,16,3,8,1,10,5,11,15,9,14,13,4,7,12
4,2,16,3,7,1,9,6,12,15,10,13,14,5,8,11
5,2,16,3,8,1,10,6,13,15,9,14,12,4,7,11
4,2,16,3,9,1,10,6,13,15,8,14,12,5,7,11
4,2,16,3,8,1,10,5,11,15,7,14,13,6,9,12
4,2,16,3,9,1,10,6,13,15,8,14,12,5,7,11
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
4,2,16,3,9,1,10,6,12,15,8,14,13,5,7,11
4,2,16,3,8,1,10,5,12,15,7,13,14,6,9,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
5,2,16,3,8,1,10,7,13,15,9,14,12,4,6,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
4,2,16,3,9,1,10,6,12,15,7,13,14,5,8,11
3,2,16,4,9,1,10,6,14,15,7,13,12,5,8,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,13,14,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
4,2,16,3,9,1,10,5,12,15,7,14,13,6,8,11
5,2,16,3,8,1,10,4,11,15,9,14,13,6,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
4,2,16,3,7,1,10,6,12,15,9,13,14,5,8,11
4,2,16,3,8,1,9,6,12,15,10,14,13,5,7,11
5,2,16,3,8,1,10,6,13,15,9,14,12,4,7,11
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,4,11,15,7,13,14,6,9,12
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,9,1,10,6,13,15,8,14,12,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,4,11,15,7,14,13,6,9,12
4,2,16,3,9,1,10,5,11,15,8,14,12,6,7,13
3,2,16,4,9,1,10,5,13,15,7,14,12,6,8,11
4,2,16,3,8,1,9,6,12,15,10,14,13,5,7,11
5,2,16,3,8,1,10,6,13,15,9,14,12,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,13,14,4,7,11
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
6,2,16,3,8,1,9,4,11,15,10,14,13,5,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
6,3,16,2,8,1,9,4,11,15,10,14,13,5,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
5,2,16,3,9,1,10,6,14,15,8,13,12,4,7,11
5,2,16,3,9,1,10,6,14,15,8,13,12,4,7,11
5,2,16,3,8,1,10,4,11,15,9,14,13,6,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,4,11,15,9,14,13,6,7,12
4,2,16,3,10,1,9,5,12,15,7,14,13,6,8,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
4,2,16,3,8,1,10,5,12,15,9,13,14,6,7,11
4,2,16,3,8,1,10,6,11,15,9,14,13,5,7,12
5,2,16,3,8,1,10,4,11,15,9,14,13,6,7,12
4,2,16,3,8,1,10,6,12,15,9,14,13,5,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,9,1,10,6,13,15,8,14,12,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,13,14,4,7,11
6,2,16,3,8,1,10,4,11,15,9,14,13,5,7,12
4,2,16,3,9,1,10,6,13,15,8,14,12,5,7,11
5,2,16,3,8,1,10,4,11,15,9,14,13,6,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
3,2,16,4,9,1,10,5,14,15,7,12,13,6,8,11
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
4,2,16,3,9,1,10,6,12,15,8,14,13,5,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
4,2,16,3,9,1,10,6,11,15,8,14,13,5,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
4,2,16,3,9,1,10,6,12,15,8,14,13,5,7,11
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
6,2,16,3,8,1,10,5,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
5,2,16,3,9,1,10,6,13,15,8,14,12,4,7,11
4,2,16,3,8,1,10,5,12,15,7,13,14,6,9,11
5,2,16,3,9,1,10,6,13,15,7,14,12,4,8,11
4,2,16,3,8,1,10,5,11,15,9,14,12,6,7,13
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
4,2,16,3,9,1,10,6,11,15,8,14,13,5,7,12
5,2,16,3,8,1,10,4,11,15,9,14,12,6,7,13
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
6,2,16,3,8,1,9,4,11,15,10,14,13,5,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,10,4,11,15,9,14,13,6,7,12
5,2,16,3,8,1,10,6,12,15,9,14,13,4,7,11
5,2,16,3,8,1,9,6,12,15,10,14,13,4,7,11
5,2,16,3,8,1,10,6,11,15,9,14,13,4,7,12
6,2,16,3,8,1,9,5,11,15,10,14,13,4,7,12
4,2,16,3,8,1,10,6,12,15,9,14,13,5,7,11
5,2,16,3,8,1,10,6,13,15,9,14,12,4,7,11
4,2,16,3,9,1,10,5,11,15,7,14,12,6,8,13
