Theta,AB de Villiers,Andre Russel,Ben Stokes,Chris Gayle,Chris Lynn,David Warner,Faf Du Plessis,Jonny Bairstow,Jos Buttler,Kane Williamson,Kieron Pollard,Marcus Stoinis,Moeen Ali,Quinton de Kock,Shane Watson,Steve Smith
1.00,5,4,16,2,8,1,9,6,12,15,10,14,13,3,7,11
1.10,5,4,16,2,8,1,9,6,12,15,10,14,13,3,7,11
1.20,5,4,16,2,8,1,9,6,12,15,10,14,13,3,7,11
1.30,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
1.40,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
1.50,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
1.60,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
1.70,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
1.80,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
1.90,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
2.00,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
2.10,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
2.20,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
2.30,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
2.40,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
2.50,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
2.60,5,3,16,2,8,1,9,6,12,15,10,14,13,4,7,11
2.70,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
2.80,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
2.90,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
3.00,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
3.10,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
3.20,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
3.30,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
3.40,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
3.50,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
3.60,6,2,16,3,8,1,9,5,12,15,10,14,13,4,7,11
3.70,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
3.80,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
3.90,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
4.00,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
4.10,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
4.20,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
4.30,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
4.40,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
4.50,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
4.60,6,2,16,3,8,1,9,4,12,15,10,14,13,5,7,11
