Theta,Andre Russell,Ben Stokes,Chris Morris,Dwayne Bravo,Imran Tahir,Jofra Archer,Kagiso Rabada,Keemo Paul,Lasith Malinga,Moeen Ali,Mohammad Nabi,Rashid Khan,Sam Curran,Sunil Narine,Trent Boult
1.00,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.10,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.20,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.30,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.40,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.50,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.60,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.70,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.80,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
1.90,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.00,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.10,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.20,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.30,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.40,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.50,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.60,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.70,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.80,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
2.90,5,14,10,7,1,6,2,13,3,12,9,4,11,8,15
3.00,5,14,10,7,1,6,2,13,3,12,8,4,11,9,15
3.10,5,14,10,7,1,6,2,13,3,12,8,4,11,9,15
3.20,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
3.30,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
3.40,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
3.50,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
3.60,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
3.70,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
3.80,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
3.90,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
4.00,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
4.10,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
4.20,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
4.30,5,14,10,7,1,6,2,13,4,12,8,3,11,9,15
4.40,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
4.50,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
4.60,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
4.70,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
4.80,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
4.90,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.00,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.10,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.20,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.30,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.40,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.50,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.60,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.70,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.80,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
5.90,5,14,9,7,1,6,2,13,4,12,8,3,11,10,15
