Removed indices,Ranks Reversals
"2,1","4,5,6,7,8,9,11"
"3,1","11,12"
"3,2","5,6,7,10,12"
"4,2","4,5,6,7,8,9,11"
"4,3","11,12"
"5,2","5,6,7,9,11"
"5,3","11,12"
"6,1","6,7,11,12"
"6,2","4,5,6,8,9,11"
"6,3","7,8,12,13"
"6,4","6,7,11,12"
"6,5","7,8,11,12"
"7,2","5,6,7,8,9,10,11"
"7,3","11,12"
"7,6","7,8,11,12"
"8,2","4,5,6,7,8,9,11"
"8,6","6,7,11,12"
"9,2","5,6,7,8,10,11"
"9,6","11,12"
"10,2","5,6,7,8,9,10,12"
"10,3","4,5,12,13"
"10,6","7,8,12,13"
"11,2","6,7,8,9,11"
"11,3","11,12"
"11,6","6,7,11,12"
"12,2","5,6,7,9,11"
"12,3","11,12"
"12,6","11,12"
"12,11","10,11"
"13,2","5,6,7,9,10,11"
"13,6","7,8"
"14,2","6,7,8,9,11"
"14,3","11,12"
"14,6","6,7,11,12"
"15,1","10,11"
"15,2","5,6,7,9,11"
"15,3","11,12"
"15,4","10,11"
"15,5","10,11"
"15,6","11,12"
"15,7","10,11"
"15,8","10,11"
"15,10","11,12"
"15,11","10,11"
"15,12","10,11"
"15,14","7,8,10,11"
"16,2","5,6,7,10,12"
"16,3","12,13"
"16,6","7,8"
"16,15","11,12"
