Removed indices,Ranks Reversals
"3,1","5,6,12,13"
"3,2","5,6,12,13"
"4,1","5,6"
"4,2","3,4"
"5,2","3,4"
"5,3","6,7"
"5,4","4,5,6,7"
"6,1","1,2"
"6,3","1,2,5,6"
"6,4","1,2,3,4,5,6"
"6,5","1,2,3,4"
"7,2","3,4"
"7,3","6,7"
"7,4","4,5,6,7"
"7,5","4,5,7,8"
"7,6","1,2"
"8,2","4,5"
"8,3","5,6,8,9"
"8,4","3,4"
"8,5","3,4"
"8,6","2,3"
"9,2","3,4"
"9,3","6,7"
"9,4","4,5"
"9,5","4,5"
"9,6","1,2"
"9,7","4,5"
"10,2","3,4,5,6"
"10,3","6,7,9,10,13,14"
"10,4","4,5"
"10,5","4,5"
"10,6","1,2"
"10,7","4,5"
"10,8","5,6"
"10,9","4,5"
"11,1","4,5,11,12"
"11,2","3,4,5,11,12"
"11,3","4,5,6,8,9,12,13"
"11,5","5,6"
"11,6","1,2,3,4,5"
"11,7","5,6,11,12"
"11,8","3,4,5"
"11,9","5,6"
"11,10","4,5,6,12,13"
"12,1","11,12"
"12,2","11,12"
"12,3","8,9,12,13"
"12,6","1,2"
"12,10","12,13"
"12,11","11,12,13"
"13,2","3,4,5,6"
"13,3","6,7"
"13,4","4,5"
"13,5","4,5"
"13,6","1,2"
"13,7","4,5"
"13,9","4,5"
"13,11","4,5,6"
"14,2","3,4"
"14,3","8,9"
"14,4","4,5"
"14,5","4,5,6"
"14,6","1,2,3,4"
"14,7","4,5"
"14,8","3,4"
"14,9","4,5"
"14,10","4,5"
"14,11","5,6"
"14,13","4,5"
"15,2","3,4"
"15,3","6,7"
"15,4","4,5,6,7"
"15,5","4,5,7,8"
"15,6","1,2,3,4"
"15,7","4,5"
"15,9","4,5"
"15,10","4,5"
"15,11","5,6"
"15,13","4,5"
"15,14","4,5,6"
"16,2","3,4,5,6"
"16,3","6,7,9,10"
"16,4","4,5"
"16,5","4,5"
"16,6","1,2"
"16,7","4,5"
"16,8","5,6"
"16,9","4,5"
"16,10","6,7"
"16,11","4,5,6,11,12"
"16,14","4,5"
"16,15","4,5"
