AB de Villiers,Andre Russel,Ben Stokes,Chris Gayle,Chris Lynn,David Warner,Faf Du Plessis,Jonny Bairstow,Jos Buttler,Kane Williamson,Kieron Pollard,Marcus Stoinis,Moeen Ali,Quinton de Kock,Shane Watson,Steve Smith
6,3,15,5,9,1,10,2,13,16,8,11,14,4,7,12
5,2,16,4,8,1,9,7,11,15,10,14,13,3,6,12
6,3,16,4,9,1,8,2,10,15,11,14,13,5,7,12
8,3,16,5,10,1,9,2,11,15,7,14,13,6,4,12
7,1,16,4,9,2,10,5,11,15,8,14,12,3,6,13
6,2,16,3,8,1,10,4,11,15,9,14,12,5,7,13
6,2,16,4,8,1,9,5,12,15,10,14,13,3,7,11
6,2,16,4,8,1,10,3,11,15,9,13,12,5,7,14
5,2,15,6,9,1,11,3,12,16,7,10,14,4,8,13
6,2,15,7,9,1,11,5,14,16,3,10,13,4,8,12
6,2,16,4,8,1,9,5,11,15,10,14,13,3,7,12
7,1,16,4,10,2,9,3,11,15,6,12,14,5,8,13
8,3,16,5,10,1,9,2,12,15,4,11,14,7,6,13
7,3,16,4,9,1,8,2,11,15,10,14,13,5,6,12
7,3,16,6,8,1,10,2,12,15,9,13,14,4,5,11
8,2,15,6,9,1,10,5,13,16,7,12,14,3,4,11
4,1,16,3,7,2,9,5,11,15,10,12,14,6,8,13
5,3,16,4,11,1,9,2,12,15,6,10,14,7,8,13
7,2,15,4,9,1,10,6,13,16,8,12,14,3,5,11
7,2,16,5,8,1,10,3,11,15,9,14,12,4,6,13
7,2,16,3,9,1,10,6,11,15,8,12,14,4,5,13
7,2,16,4,8,1,9,3,10,15,11,13,14,5,6,12
4,1,15,5,9,2,11,8,14,16,6,10,12,3,7,13
7,6,16,5,10,1,9,4,12,15,8,14,13,2,3,11
7,3,16,4,9,1,10,2,11,15,8,14,13,5,6,12
6,2,16,4,8,1,9,5,11,15,10,13,14,3,7,12
7,1,16,3,10,2,9,4,11,15,5,12,14,6,8,13
5,2,16,4,9,1,10,8,13,15,7,11,14,3,6,12
7,5,16,3,9,1,8,4,12,15,10,13,14,2,6,11
7,3,16,4,9,1,8,2,11,15,10,13,14,5,6,12
4,3,15,5,10,1,9,8,13,16,7,12,14,2,6,11
5,1,16,4,9,2,10,3,12,15,7,11,14,6,8,13
8,6,16,7,10,1,9,2,13,15,5,12,14,4,3,11
5,2,16,3,8,1,10,4,11,15,9,14,12,6,7,13
7,6,16,3,8,1,9,5,11,15,10,14,13,2,4,12
7,3,15,5,11,1,9,2,13,16,6,10,14,4,8,12
5,1,16,4,9,2,10,3,11,15,6,12,13,7,8,14
6,1,15,3,9,2,10,5,13,16,7,11,14,4,8,12
6,4,15,5,8,1,9,2,13,16,10,12,14,3,7,11
6,1,15,4,9,2,10,8,12,16,7,14,11,3,5,13
7,6,16,3,8,1,9,4,11,15,10,14,13,2,5,12
4,2,16,5,10,1,8,3,11,15,9,13,14,6,7,12
6,3,16,4,8,1,9,7,11,15,10,13,14,2,5,12
