Name,Nationality,Mat,Inns,Ov,TBB,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Andre Russell,West Indian,14,12,30.1,181,287,11,2/21,26.09,9.51,16.45,0,0
Ben Stokes,English,9,6,16.5,101,189,6,2/39,31.50,11.23,16.83,0,0
Chris Morris,South African,9,9,33,198,306,13,3/22,23.54,9.27,15.23,0,0
Dwayne Bravo,West Indian,12,12,41.1,247,330,11,3/33,30.00,8.02,22.45,0,0
Imran Tahir,South African,17,17,64.2,386,431,26,4/12,16.58,6.70,14.85,2,0
Jofra Archer,English,11,11,43,258,291,11,3/15,26.45,6.77,23.45,0,0
Kagiso Rabada,South African,12,12,47,282,368,25,4/21,14.72,7.83,11.28,2,0
Keemo Paul,West Indian,8,8,27.1,163,237,9,3/17,26.33,8.72,18.11,0,0
Lasith Malinga,Sri Lankan,12,12,44.5,269,438,16,4/31,27.38,9.77,16.81,2,0
Moeen Ali,English,11,9,25,150,169,6,2/18,28.17,6.76,25.00,0,0
Mohammad Nabi,Afghan,8,8,29.1,175,194,8,4/11,24.25,6.65,21.88,1,0
Rashid Khan,Afghan,15,15,60,360,377,17,3/21,22.18,6.28,21.18,0,0
Sam Curran,English,9,9,33,198,323,10,4/11,32.30,9.79,19.80,1,0
Sunil Narine,West Indian,12,12,44.2,266,347,10,2/19,34.70,7.83,26.60,0,0
Trent Boult,New Zealander,5,5,19,114,163,5,2/27,32.60,8.58,22.80,0,0
Alzarri Joseph,Antiguan,3,3,8.4,52,87,6,6/12,14.50,10.04,8.67,0,1
